id|palavra|significado|contexto|categoria|relacionada1,relacionada2,relacionada3,relacionadas4,relacionadas5

1|algoritmo|Sequencia finita de passos logicos e bem definidos para resolver um problema.|Utilizado amplamente no desenvolvimento de software e automacao de processos.|Informatica|codigo,logica,programa,funcao,instrucao
2|ponteiro|Variavel que armazena o endereco de memoria de outra variavel.|Muito utilizado em C para alocacao dinamica de memoria e manipulacao de arrays.|Informatica|memoria,endereco,referencia,alocacao,vetor
3|recursividade|Metodo de programacao no qual uma funcao chama a si mesma para resolver subproblemas.|Aplicado em algoritmos de busca, ordenacao e manipulacao de estruturas em arvore.|Informatica|funcao,pilha,iteracao,base,retorno
4|trie|Estrutura de dados de arvore ordenada utilizada para armazenar um conjunto dinamico de strings.|Ideal para implementar sistemas de auto-complete, corretores ortograficos e dicionarios rapidos.|Estruturas de Dados|arvore,prefixo,busca,string,chave
5|compilador|Programa que traduz o codigo fonte escrito numa linguagem de alto nivel para linguagem de maquina.|Essencial no ciclo de desenvolvimento de linguagens como C, C++ e Rust.|Informatica|codigo,traducao,sintaxe,executavel,binario
6|criptografia|Pratica de codificar informacoes para que apenas o destinatario pretendido possa ler e processar.|Crucial para a seguranca de dados na internet, transacoes bancarias e privacidade.|Seguranca|chave,seguranca,codigo,dados,privacidade
7|matriz|Estrutura de dados bidimensional composta por linhas e colunas acessadas por dois indices.|Usada em computacao grafica, processamento de imagem e algebra linear.|Matematica|vetor,indice,tabela,linha,coluna
8|grafo|Estrutura composta por um conjunto de vertices ligados por um conjunto de arestas.|Utilizado para modelar redes sociais, rotas de mapas e conexoes de internet.|Estruturas de Dados|vertice,aresta,rede,caminho,busca
9|depuracao|Processo de encontrar e reduzir o numero de erros ou defeitos num programa de computador.|Atividade diaria de programadores usando ferramentas como GDB para analisar o estado da memoria.|Informatica|erro,bug,teste,gdb,correcao
10|encapsulamento|Principio de ocultacao dos detalhes internos de funcionamento de uma estrutura ou classe.|Pilar fundamental da programacao orientada a objetos para garantir seguranca e modularidade.|Programacao|objeto,classe,modulo,seguranca,interface
11|fila|Estrutura de dados linear que segue o principio de que o primeiro a entrar e o primeiro a sair.|Usada no escalonamento de processos em sistemas operativos e buffers de impressao.|Estruturas de Dados|fifo,lista,elemento,buffer,escalonamento
12|pilha|Estrutura de dados linear que segue o principio de que o ultimo a entrar e o primeiro a sair.|Utilizada para gerir chamadas de funcoes e na funcionalidade de desfazer em editores de texto.|Estruturas de Dados|lifo,topo,chamada,memoria,desfazer
13|indexacao|Tecnica usada para acelerar o acesso aos dados criando caminhos rapidos de busca.|Aplicada intensamente em bases de dados e motores de busca como o Google.|Bases de Dados|busca,indice,otimizacao,tabela,rapidez
